#{"t_start": 1776884807.5564575, "env_id": "CarRacing-v3"}
r,l,t
-52.02952,1000,116.233971
-63.69637,1000,260.623761
-58.158996,1000,429.526781
-70.29703,1000,647.868535
-160.188809,1000,783.228773
-61.832061,1000,915.234433
-57.09571,1000,1112.394358
-55.555556,1000,1244.526551
28.526646,1000,1379.285232
-39.393939,1000,1578.891898
-35.275081,1000,1714.352091
-26.174497,1000,1847.817455
-25.925926,1000,2046.071132
-22.558923,1000,2176.268229
64.233577,1000,2311.930661
-23.357664,1000,2501.242879
-13.461538,1000,2635.625821
-13.857678,1000,2767.386222
37.583893,1000,2958.140237
284.10596,1000,3093.096364
283.606557,1000,3230.067385
22.807018,1000,3393.449871
301.574803,1000,3530.691592
150.847458,1000,3667.435219
177.955272,1000,3816.737286
