#{"t_start": 1777066527.0825868, "env_id": "CarRacing-v3"}
r,l,t
-40.95941,1000,139.414851
-50.49505,1000,286.486856
-49.790795,1000,433.451099
-57.09571,1000,666.208746
-60.288809,1000,833.961069
-58.015267,1000,1023.344666
-63.69637,1000,1299.949154
-157.479365,925,1471.149736
-59.247649,1000,1661.55122
-59.59596,1000,1937.792034
-61.165049,1000,2124.367163
-53.020134,1000,2313.633263
-42.760943,1000,2548.541487
-59.59596,1000,2720.693204
31.386861,1000,2894.795169
-19.708029,1000,3112.480872
-29.487179,1000,3294.28104
-89.048315,678,3410.123193
30.872483,1000,3592.895539
62.251656,1000,3817.958227
-24.590164,1000,3999.798157
22.807018,1000,4170.332961
285.826772,1000,4418.970634
483.050847,1000,4590.715926
484.664537,1000,4759.467824
-3.153846,571,4933.663697
601.754386,1000,5103.830317
844.237918,1000,5274.959698
264.779874,1000,5526.537694
260.13986,1000,5674.753936
733.333333,1000,5845.445288
438.745387,1000,6016.071233
856.989247,1000,6253.865055
418.518519,1000,6426.734085
858.015267,1000,6597.209382
644.33657,1000,6861.348388
501.476015,1000,7048.27672
673.85159,1000,7241.942425
32.013201,1000,7492.76078
19.7411,1000,7666.621847
247.972973,1000,7842.447415
60.714286,1000,8106.99307
616.129032,1000,8281.756895
783.116883,1000,8462.493995
882.206406,1000,8740.151379
916.5,835,8877.602829
572.240803,1000,9071.324868
391.174074,830,9233.901351
889.43662,1000,9441.144012
910.3,897,9575.467667
871.428571,1000,9708.173286
745.901639,1000,9902.477047
849.685535,1000,10029.571627
695.857988,1000,10137.81056
784.745763,1000,10327.68139
327.652733,1000,10453.302946
251.272131,685,10552.73815
427.10961,826,10644.861954
816.058394,1000,10835.324772
476.464164,721,10937.956345
41.87451,445,10996.619951
652.61324,1000,11184.0948
400.974194,959,11286.35109
631.448763,1000,11413.057717
298.351648,1000,11538.645274
460.150376,1000,11726.235495
682.608696,1000,11853.381298
737.45583,1000,11980.009728
837.5,1000,12171.175583
688.07947,1000,12297.93785
384.917276,700,12378.579629
284.083045,1000,12568.247411
736.653386,1000,12695.30788
431.343284,1000,12822.810204
492.23301,1000,13012.246508
57.342657,1000,13138.469271
795.424837,1000,13267.419466
441.284404,1000,13459.09533
539.455782,1000,13587.95532
595.035461,1000,13716.627067
786.597938,1000,13843.646726
636.111111,1000,14032.308736
538.888889,1000,14160.127131
367.105263,1000,14289.135632
835.018051,1000,14478.446893
313.907285,1000,14605.331125
740.57971,1000,14733.553386
364.028777,1000,14923.913499
463.909774,1000,15051.243386
425.806452,1000,15179.056322
513.240418,1000,15370.507628
719.727891,1000,15481.158063
210.728223,831,15593.53929
731.578947,1000,15783.078516
827.586207,1000,15911.806404
134.55044,764,15999.430143
40.689362,509,16063.831116
398.127341,1000,16252.642694
671.513353,1000,16378.5798
792.508143,1000,16506.852358
471.942446,1000,16696.084808
394.781457,881,16812.919006
362.633452,1000,16939.066263
736.805556,1000,17130.57034
600.0,1000,17259.901832
252.510438,853,17373.491265
739.35743,1000,17480.435743
369.255663,1000,17665.284499
52.876033,621,17759.557036
558.385093,1000,17886.993618
346.254072,1000,18080.078724
874.820144,1000,18206.762532
237.704918,1000,18314.592555
749.122807,1000,18505.603501
885.239852,1000,18634.071399
821.501706,1000,18760.109496
373.856209,1000,18941.94772
152.427184,1000,19070.219858
880.066445,1000,19197.267214
929.3,707,19299.464093
290.728477,1000,19490.508469
892.481203,1000,19601.128627
493.059937,1000,19752.603605
868.0,1000,19962.641623
683.783784,1000,20098.425076
758.156028,1000,20233.731906
821.568627,1000,20432.452059
922.8,772,20541.189522
921.6,784,20629.623181
822.839506,1000,20758.996868
