#{"t_start": 1776890035.028251, "env_id": "CarRacing-v3"}
r,l,t
-46.708464,1000,82.157495
-60.854093,1000,212.935789
-44.272446,1000,344.120998
-50.0,1000,538.270159
-60.912052,1000,670.753364
-42.965779,1000,800.680536
-54.385965,1000,987.409885
-48.881789,1000,1119.955638
-55.05618,1000,1267.565675
-49.820789,1000,1457.601112
-43.333333,1000,1589.051209
-37.5,1000,1723.346504
37.931034,1000,1961.220315
-32.432432,1000,2125.430516
-31.147541,1000,2304.174671
-13.207547,1000,2543.519925
-33.962264,1000,2710.74394
-15.441176,1000,2873.327699
-67.112111,987,3092.85974
-27.835052,1000,3256.838315
217.152104,1000,3422.642809
271.841155,1000,3630.11945
-20.454545,1000,3795.02219
47.859922,1000,3956.060374
344.029851,1000,4116.753861
