#{"t_start": 1776796214.8929617, "env_id": "CarRacing-v3"}
r,l,t
-56.112853,1000,128.265268
-60.854093,1000,263.996142
-50.464396,1000,415.861077
-36.666667,1000,613.250866
20.521173,1000,747.568737
-27.756654,1000,878.535954
47.368421,1000,1073.105248
142.811502,1000,1204.977083
8.614232,1000,1338.872164
-99.736559,536,1467.465308
-26.666667,1000,1599.220811
-25.0,1000,1733.092503
48.275862,1000,1930.152786
45.27027,1000,2062.050644
-60.655738,1000,2194.263364
-16.981132,1000,2326.009611
217.610063,1000,2523.607085
113.235294,1000,2662.746789
10.726644,1000,2796.899908
123.367698,1000,2992.619177
236.569579,1000,3125.512792
271.841155,1000,3257.398203
131.060606,1000,3452.33203
390.272374,1000,3560.746536
392.537313,1000,3706.856307
