#{"t_start": 1776617233.9424994, "env_id": "CarRacing-v3"}
r,l,t
-49.090909,1000,170.096456
-59.119497,1000,363.546177
-27.586207,1000,551.883754
-25.795053,1000,854.337168
-16.666667,1000,1083.291578
129.299363,1000,1307.233341
36.054422,1000,1641.023719
168.199234,1000,1893.715199
46.579805,1000,2128.462505
295.683453,1000,2479.950508
-38.053097,1000,2711.930321
-33.753943,1000,2946.894416
150.755287,1000,3259.698946
36.986301,1000,3458.228695
378.723404,1000,3655.774909
59.010601,1000,3950.288754
74.342105,1000,4179.118906
261.904762,1000,4403.954532
161.006289,1000,4715.850638
571.936759,1000,4925.789273
-31.740614,1000,5123.358182
262.745098,1000,5351.071772
251.681957,1000,5549.879878
-34.210526,1000,5739.692494
172.727273,1000,5931.587544
