#{"t_start": 1777105444.0830886, "env_id": "CarRacing-v3"}
r,l,t
-22.807018,1000,128.761515
-30.232558,1000,282.792629
-18.727915,1000,437.712828
-14.814815,1000,634.971882
-17.602996,1000,789.422654
-16.943522,1000,942.747915
-22.297297,1000,1174.079945
-25.816024,1000,1327.767594
197.658863,1000,1483.604728
27.090301,1000,1720.644543
156.31769,1000,1876.8794
173.049645,1000,2033.058753
169.230769,1000,2268.424641
529.62963,1000,2425.319123
290.625,1000,2581.944292
542.857143,1000,2814.998532
93.661972,1000,2970.41756
858.333333,1000,3128.776318
445.112782,1000,3362.002136
675.919732,1000,3518.950305
763.636364,1000,3674.914551
671.217712,1000,3881.792323
695.847751,1000,4037.747791
377.707006,1000,4195.495727
857.295374,1000,4353.542921
653.731343,1000,4592.701752
464.705882,1000,4749.905887
419.379845,1000,4907.787242
822.297297,1000,5146.853273
760.068259,1000,5303.211309
861.661342,1000,5459.48403
595.081967,1000,5689.777601
648.366013,1000,5847.81958
721.305842,1000,6005.887296
893.527508,1000,6234.432298
913.0,870,6378.50062
760.869565,1000,6537.0431
753.211009,1000,6744.260627
394.252874,1000,6901.430076
696.052632,1000,7061.244051
902.7,973,7293.844504
265.176871,771,7425.352924
650.798722,1000,7584.811027
829.104478,1000,7745.203548
440.192926,1000,7984.764948
481.560284,1000,8140.85191
889.285714,1000,8298.840509
869.072165,1000,8517.317343
869.348659,1000,8676.306856
663.513514,1000,8835.705621
468.904594,1000,9074.868557
919.4,806,9211.018628
391.694352,1000,9367.782349
870.0,1000,9595.712199
861.389961,1000,9753.830423
720.069204,1000,9910.418192
920.3,797,10023.080429
636.156352,1000,10262.825562
869.798658,1000,10421.305613
709.027778,1000,10578.841059
868.0,1000,10817.59594
851.417004,1000,10976.544501
915.3,847,11118.310971
739.344262,1000,11359.385679
577.852349,1000,11519.453734
357.831325,1000,11678.850909
753.571429,1000,11919.171674
507.508532,1000,12056.537567
440.880503,1000,12215.395232
495.588235,1000,12457.158192
859.183673,1000,12616.619555
800.0,1000,12775.309518
813.357401,1000,13013.713595
884.496124,1000,13173.593117
708.66426,1000,13333.583577
321.404682,1000,13576.367542
424.429967,1000,13736.160965
613.864307,1000,13897.811553
798.916968,1000,14057.808626
704.123711,1000,14302.173434
488.235294,1000,14461.807324
821.232877,1000,14621.019416
533.053221,1000,14865.748086
398.293515,1000,15028.020949
401.901141,1000,15186.907188
468.904594,1000,15426.836767
662.048193,1000,15585.640019
567.664671,1000,15745.542333
730.188679,1000,15964.880157
780.0,1000,16125.819767
775.862069,1000,16285.150681
518.012422,1000,16519.145805
768.589744,1000,16681.100065
850.757576,1000,16840.5968
845.762712,1000,17084.715831
545.82623,887,17230.661332
605.128205,1000,17387.40087
730.388693,1000,17627.984382
199.265823,521,17710.460086
834.065934,1000,17869.795782
357.912458,1000,18030.255877
821.985816,1000,18274.94395
403.496503,1000,18433.484979
744.594595,1000,18593.380877
919.8,802,18789.583461
633.974359,1000,18950.321801
926.1,739,19079.155051
602.970297,1000,19238.828194
760.714286,1000,19480.27968
749.264706,1000,19619.210288
853.900709,1000,19778.429535
920.0,800,19995.42049
927.8,722,20100.878997
917.3,827,20240.23637
919.8,802,20376.947386
908.7,913,20576.346118
907.7,923,20726.841156
902.1,979,20885.837875
464.417178,1000,21129.397346
876.821192,1000,21290.931519
920.3,797,21426.700292
876.190476,1000,21648.053394
877.917981,1000,21810.551449
888.679245,1000,21969.143396
916.3,837,22110.992903
926.3,737,22291.922182
923.6,764,22423.456405
839.716312,1000,22583.440623
882.876712,1000,22825.558755
