#{"t_start": 1777105444.0003798, "env_id": "CarRacing-v3"}
r,l,t
-34.545455,1000,128.67843
-21.383648,1000,282.713811
-20.689655,1000,437.630197
-18.727915,1000,634.883981
-9.42029,1000,789.351151
-33.121019,1000,942.663425
-18.367347,1000,1173.984903
3.448276,1000,1327.684747
-28.338762,1000,1483.508368
97.841727,1000,1720.562739
112.389381,1000,1876.779943
79.810726,1000,2032.977969
289.728097,1000,2268.344848
64.383562,1000,2425.230816
538.297872,1000,2581.857337
-47.256537,993,2814.175284
84.210526,1000,2969.504667
284.126984,1000,3127.833446
236.477987,1000,3361.112803
852.56917,1000,3517.965067
732.764505,1000,3673.99549
759.477124,1000,3880.876634
367.889908,1000,4036.840864
564.473684,1000,4194.54266
905.7,943,4346.050759
574.329502,1000,4585.333852
910.9,891,4729.906624
700.687285,1000,4888.142336
583.890578,1000,5127.440867
679.850746,1000,5283.582243
477.287066,1000,5439.697077
881.412639,1000,5669.639623
916.4,836,5787.597485
517.647059,1000,5945.737696
626.315789,1000,6173.893003
866.666667,1000,6332.665501
857.654723,1000,6492.225117
598.224852,1000,6720.234999
597.841727,1000,6877.847564
684.090909,1000,7037.268694
844.262295,1000,7272.424087
398.245614,1000,7430.94945
581.003584,1000,7590.677997
614.828897,1000,7751.055393
599.680511,1000,7990.351252
703.773585,1000,8146.492483
717.204301,1000,8304.726967
634.219269,1000,8544.389526
687.985866,1000,8703.437332
574.825175,1000,8841.374735
414.754098,1000,9080.468114
383.180428,1000,9238.788675
835.251799,1000,9396.31164
863.562753,1000,9623.634494
362.264151,1000,9781.878054
580.0,1000,9938.208209
356.25,1000,10177.186725
874.452555,1000,10336.520008
601.149425,1000,10493.345785
372.527473,1000,10732.859029
609.459459,1000,10890.304774
845.392491,1000,11050.166099
739.08046,1000,11290.43029
841.558442,1000,11450.858012
523.333333,1000,11610.783988
700.687285,1000,11851.800375
911.7,883,11974.838596
355.445545,1000,12134.03242
599.029126,1000,12293.242223
800.684932,1000,12534.938417
571.186441,1000,12693.736366
520.155039,1000,12851.456542
758.108108,1000,13091.712753
695.774648,1000,13251.44589
639.864865,1000,13411.596209
557.894737,1000,13654.670135
715.068493,1000,13814.738599
663.333333,1000,13976.174249
554.109589,1000,14219.130141
538.059701,1000,14379.27634
481.005587,1000,14539.61631
710.169492,1000,14782.392123
848.220065,1000,14944.898098
524.595469,1000,15105.642712
850.331126,1000,15344.505319
802.027027,1000,15503.554746
462.289562,1000,15663.362004
599.658703,1000,15883.135893
556.765677,1000,16044.16267
870.588235,1000,16203.20922
767.132867,1000,16362.861017
845.454545,1000,16597.580482
459.270517,1000,16758.816581
798.412698,1000,16919.532551
850.704225,1000,17162.050589
875.438596,1000,17319.74454
715.686275,1000,17477.381097
730.175433,938,17711.765362
442.635659,1000,17871.251008
886.666667,1000,18031.644361
489.595376,1000,18276.419873
529.251701,1000,18434.882518
449.253731,1000,18594.859675
621.854305,1000,18836.000204
643.421053,1000,18996.127671
614.765101,1000,19156.373861
798.245614,1000,19376.094039
862.5,1000,19534.537118
571.480144,1000,19696.945196
609.090909,1000,19935.11675
614.285714,1000,20094.867069
896.794872,1000,20254.587432
911.2,888,20401.327005
876.430976,1000,20632.300453
919.5,805,20769.781132
910.8,892,20896.466005
921.2,788,21112.794976
884.375,1000,21276.507517
911.6,884,21400.833902
865.299685,1000,21561.421869
655.617978,1000,21806.454703
875.438596,1000,21965.002955
896.350365,1000,22126.172569
916.1,839,22339.591633
844.055944,1000,22499.904238
913.7,863,22643.486984
