#{"t_start": 1777066527.1800265, "env_id": "CarRacing-v3"}
r,l,t
-16.334661,1000,139.45548
-50.331126,1000,286.563865
-58.015267,1000,433.513687
-66.101695,1000,666.278317
-68.75,1000,834.066544
-55.645161,1000,1023.44992
-60.159363,1000,1300.040824
-135.963636,797,1456.941052
-62.5,1000,1643.423542
-62.264151,1000,1920.918731
-53.900709,1000,2105.935508
-40.074906,1000,2295.903024
-42.238267,1000,2505.910904
-47.761194,1000,2677.755029
15.646259,1000,2854.846471
-24.914676,1000,3070.094549
-13.72549,1000,3249.997153
383.108108,1000,3438.360878
-27.152318,1000,3670.316955
455.555556,1000,3842.768079
-1.639344,1000,4023.788305
262.459547,1000,4194.583206
79.591837,1000,4443.366685
545.914397,1000,4614.880928
236.569579,1000,4783.653767
125.609756,1000,5033.586005
275.796178,1000,5205.238617
874.452555,1000,5376.284384
912.5,875,5588.437687
905.5,945,5752.992078
72.161172,1000,5921.613158
698.679868,1000,6161.324965
674.305556,1000,6332.359375
511.987382,1000,6504.65817
562.835249,1000,6760.729977
593.181818,1000,6946.341086
629.09699,1000,7137.297272
335.251799,1000,7400.536066
442.424242,1000,7571.960171
751.973684,1000,7747.747748
692.253521,1000,7922.725303
43.769968,1000,8187.064137
403.521127,1000,8363.232148
868.992248,1000,8548.34604
738.129496,1000,8825.019598
689.473684,1000,9017.246809
638.317757,1000,9204.073013
468.106312,1000,9420.212956
748.387097,1000,9537.701613
863.333333,1000,9673.715323
868.641115,1000,9872.235427
668.253968,1000,9999.495206
855.172414,1000,10127.074819
911.2,888,10307.264445
93.771626,1000,10433.11885
212.5,1000,10560.219449
861.038961,1000,10750.652968
677.29661,906,10869.086837
489.090909,1000,10996.374522
224.994406,807,11086.142434
501.142105,733,11249.857822
651.70068,1000,11375.688808
862.686567,1000,11482.412952
216.470903,649,11639.62005
-3.168864,388,11692.809511
892.619926,1000,11799.938377
617.607973,1000,11926.983719
754.67128,1000,12117.742215
145.033898,771,12224.343509
418.404908,1000,12351.104322
612.962963,1000,12540.520473
765.248227,1000,12667.858144
71.821306,1000,12794.762065
273.626374,1000,12921.936188
184.193377,669,13063.005365
590.721649,1000,13189.850534
660.0,1000,13318.116908
391.891892,1000,13510.664048
547.975078,1000,13639.172106
155.102041,1000,13767.224675
525.454545,1000,13956.781307
121.774194,1000,14082.922855
833.333333,1000,14212.041835
655.555556,1000,14401.771636
605.329154,1000,14509.49776
348.905109,1000,14637.025277
260.38961,1000,14827.849852
728.382838,1000,14954.736609
468.627451,1000,15082.993996
803.703704,1000,15210.334666
775.968992,1000,15402.374836
637.226277,1000,15532.295922
394.983278,1000,15659.790171
364.419672,865,15837.125222
-6.519865,413,15893.346586
781.832061,801,15985.023342
285.612821,600,16057.847337
811.764706,1000,16246.513985
701.312977,881,16361.944429
545.390071,1000,16489.609092
329.203203,620,16564.487281
612.686567,1000,16753.485026
196.353731,530,16819.892648
328.003203,632,16894.493418
411.182109,1000,17021.470375
870.909091,1000,17214.713649
356.375839,1000,17342.053722
453.459119,1000,17468.113284
870.479705,1000,17652.815723
813.385827,1000,17780.467704
651.879699,1000,17908.813411
685.234899,1000,18101.270536
680.918728,1000,18227.965757
859.854015,1000,18354.907756
302.898551,1000,18547.194743
232.167832,1000,18674.154031
793.103448,1000,18800.813083
363.492063,1000,18982.742522
886.348123,1000,19111.11197
792.116183,1000,19237.669412
858.333333,1000,19429.082855
802.597403,1000,19557.932819
893.265993,1000,19702.303505
922.8,772,19805.25994
637.804878,1000,20011.775011
780.877743,1000,20147.752926
572.955975,1000,20282.340739
857.854406,1000,20479.861846
917.1,829,20572.961025
896.108949,1000,20701.188257
873.59736,1000,20891.32935
