#{"t_start": 1777041532.1789494, "env_id": "CarRacing-v3"}
r,l,t
-49.090909,1000,115.686954
-51.977401,1000,241.71152
-50.980392,1000,367.258069
-38.356164,1000,519.068339
-31.15942,1000,642.927093
-30.656934,1000,766.246711
-29.487179,1000,932.106475
54.676259,1000,1055.944426
-18.215613,1000,1176.340985
-28.571429,1000,1350.847281
322.794118,1000,1472.084104
262.711864,1000,1595.389179
52.173913,1000,1759.818951
87.772926,1000,1883.319608
241.637011,1000,2008.496882
586.619718,1000,2194.272646
565.634675,1000,2325.085333
425.59727,1000,2450.242986
573.758865,1000,2643.461665
79.012346,1000,2773.010056
11.420613,1000,2901.515619
570.250896,1000,3055.736472
-129.675,954,3175.588266
305.844156,1000,3300.44658
687.072243,1000,3425.743218
575.585284,1000,3614.964381
202.469136,1000,3739.238049
-62.065472,664,3815.414842
542.857143,1000,4004.746718
521.527778,1000,4130.210965
604.626335,1000,4254.614002
167.062315,1000,4447.090498
484.569733,1000,4576.376325
384.662577,1000,4704.642588
902.0,980,4892.709856
639.549839,1000,5018.490249
787.043189,1000,5144.44174
215.492958,1000,5332.019867
912.3,877,5448.320513
584.04908,1000,5574.847952
844.055944,1000,5701.413025
851.672862,1000,5892.823826
467.010309,1000,5998.297903
692.207792,1000,6124.82473
792.61745,1000,6315.791641
403.012048,1000,6442.192978
153.071429,506,6504.962681
425.423729,1000,6684.960933
868.965517,1000,6811.486819
56.414286,294,6858.611813
293.529851,506,6923.01887
151.281424,708,7006.537478
154.693691,514,7101.326056
406.493506,1000,7229.024895
58.62459,300,7274.500912
352.054795,1000,7399.594275
596.202532,1000,7568.096776
865.397924,1000,7693.709349
889.583333,1000,7820.640806
858.955224,1000,7990.485347
731.683168,1000,8115.862789
484.229391,1000,8242.184263
551.245552,1000,8368.716719
566.666667,1000,8555.241052
708.823529,1000,8687.498219
928.4,716,8793.516034
519.354839,1000,8979.384807
631.147541,1000,9110.898562
844.636678,1000,9222.508772
283.512545,1000,9418.015443
874.452555,1000,9548.990809
340.789474,1000,9680.774525
348.028674,1000,9879.889859
907.9,921,10005.023623
908.8,912,10130.04887
896.644295,1000,10263.435508
916.7,833,10423.781527
371.471471,1000,10556.673232
395.238095,1000,10690.482036
528.289474,1000,10889.190617
920.7,793,11004.264076
879.674797,1000,11144.497549
670.0,1000,11340.377592
885.239852,1000,11467.030299
890.066225,1000,11594.767487
886.013986,1000,11784.407911
914.5,855,11880.075106
892.592593,1000,12006.064813
289.240506,1000,12132.021908
206.709265,1000,12322.243032
354.198473,1000,12448.041282
822.794118,1000,12574.688791
774.213836,1000,12768.590289
830.232558,1000,12895.129812
906.2,938,13019.511724
862.962963,1000,13212.793473
275.852866,924,13337.436533
871.929825,1000,13465.705802
868.35443,1000,13635.089327
882.078853,1000,13762.166753
57.692308,1000,13887.790986
925.7,743,14055.64021
779.072862,727,14138.660723
787.096774,1000,14265.073039
39.471186,369,14317.108901
353.947368,1000,14498.361994
530.0,1000,14624.468389
900.4,996,14750.702844
911.7,883,14866.92562
255.04886,1000,15037.772691
344.827586,1000,15163.502037
875.352113,1000,15290.514901
923.3,767,15458.544981
545.27027,1000,15584.580612
925.2,748,15669.086435
34.545455,1000,15849.95745
862.546816,1000,15980.605716
878.181818,1000,16113.781746
851.724138,1000,16245.035064
635.294118,1000,16438.074652
811.347518,1000,16565.83526
850.381679,1000,16693.566323
621.518987,1000,16884.616515
853.736655,1000,17013.180685
205.732484,1000,17139.53155
891.836735,1000,17329.558667
919.2,808,17419.934838
887.341772,1000,17549.484663
488.424437,1000,17747.61164
875.945017,1000,17877.135188
866.542751,1000,18003.516805
883.388704,1000,18200.366852
