#{"t_start": 1777041532.2724671, "env_id": "CarRacing-v3"}
r,l,t
-43.661972,1000,115.746988
-47.916667,1000,241.755125
-44.444444,1000,367.304995
-46.666667,1000,519.111664
-46.37224,1000,642.97605
-28.838951,1000,766.305535
38.059701,1000,932.1592
59.42029,1000,1056.009594
-61.425869,928,1170.496854
-22.807018,1000,1344.853874
25.412541,1000,1466.147421
-32.721713,1000,1589.422277
-23.913043,1000,1753.679158
318.118467,1000,1877.198823
295.833333,1000,2002.386898
59.322034,1000,2188.18974
488.888889,1000,2318.889534
319.354839,1000,2443.780782
230.097087,1000,2616.85639
296.363636,1000,2746.640671
291.143911,1000,2876.084314
583.453237,1000,3049.681349
251.06383,1000,3173.403339
58.415842,1000,3298.273138
501.910828,1000,3423.534547
181.15016,1000,3612.660263
774.551971,1000,3736.930988
420.249221,1000,3861.127348
271.621622,1000,4051.564818
811.439114,1000,4175.86761
444.061303,1000,4300.53254
348.669202,1000,4495.046498
456.313993,1000,4624.001909
718.181818,1000,4751.152999
549.253731,1000,4940.277637
55.555556,1000,5066.302358
233.333333,1000,5192.318945
643.243243,1000,5380.915794
854.703833,1000,5507.569439
604.402516,1000,5614.648513
654.83871,1000,5805.238031
732.740214,1000,5931.703503
524.087591,1000,6056.917447
729.268293,1000,6248.245031
903.6,964,6371.8731
387.878788,1000,6497.376239
432.146269,687,6576.096881
366.513605,676,6728.042508
785.106383,1000,6856.723353
641.818182,1000,6985.615264
392.063492,1000,7143.757788
291.080822,508,7208.07754
459.859155,1000,7333.843783
870.80292,1000,7460.228662
194.832827,1000,7627.288935
846.153846,1000,7733.83697
882.394366,1000,7860.519317
835.59322,1000,8049.398853
508.108108,1000,8175.451389
861.538462,1000,8302.357058
131.292517,1000,8486.002105
889.323843,1000,8617.672287
494.38543,779,8729.861184
362.633452,1000,8914.847342
926.2,738,9003.366747
56.48855,1000,9135.157426
800.0,1000,9266.265968
241.37931,1000,9461.523909
846.768061,1000,9592.445898
281.766382,1000,9725.96099
872.789116,1000,9923.870725
913.8,862,10023.542877
925.1,749,10133.586893
925.4,746,10222.996985
908.3,917,10411.74423
851.008646,1000,10544.915812
917.8,822,10661.963758
858.801498,1000,10860.565793
893.243243,1000,10994.443429
724.137931,1000,11133.842823
886.754967,1000,11331.13271
882.876712,1000,11457.951435
922.9,771,11546.112364
903.4,966,11669.617141
888.095238,1000,11859.75294
463.627027,885,11977.140081
834.210526,1000,12103.513632
518.421053,1000,12292.175486
774.14966,1000,12399.735956
874.358974,1000,12526.104154
258.208955,1000,12718.876581
876.588629,1000,12846.575685
881.651376,1000,12973.792935
880.952381,1000,13168.119214
887.767584,1000,13300.358183
911.6,884,13418.285163
891.967871,1000,13607.371998
889.690722,1000,13734.782954
556.050955,1000,13860.303645
922.5,775,13948.162133
592.857143,1000,14137.912098
889.761092,1000,14264.311788
892.779783,1000,14390.66976
811.47541,1000,14572.395578
866.911765,1000,14698.960115
718.84058,1000,14825.041
315.584416,1000,15014.78214
543.598616,1000,15141.428728
868.992248,1000,15267.894891
886.440678,1000,15456.428345
889.830508,1000,15582.533914
929.2,708,15663.349386
849.090909,1000,15788.683213
600.996678,1000,15974.747907
469.659443,1000,16107.895832
846.843854,1000,16239.329598
851.298701,1000,16432.45462
866.9967,1000,16560.182476
876.510067,1000,16687.881465
855.390335,1000,16879.12394
379.087452,1000,17007.579563
446.468401,1000,17134.061632
878.723404,1000,17324.085424
850.657895,1000,17451.03521
896.363636,1000,17581.205161
586.206897,1000,17759.658814
859.107807,1000,17888.480667
882.817869,1000,18014.8372
892.307692,1000,18212.149776
