#{"t_start": 1777041532.2149346, "env_id": "CarRacing-v3"}
r,l,t
-44.649446,1000,115.716847
-53.79538,1000,241.732807
-37.238494,1000,367.28141
-37.293729,1000,519.086926
-53.068592,1000,642.947868
-16.030534,1000,766.27015
12.211221,1000,932.125997
46.031746,1000,1055.975445
-58.734169,999,1176.21049
-29.292929,1000,1350.716878
424.271845,1000,1471.934132
319.463087,1000,1595.239328
293.939394,1000,1759.679162
465.656566,1000,1883.181099
71.532847,1000,2008.365773
710.218978,1000,2194.135148
432.051282,1000,2324.953877
428.089888,1000,2450.103492
366.442953,1000,2643.327228
270.860927,1000,2772.888293
250.819672,1000,2901.396627
15.789474,1000,3055.624136
191.338583,1000,3179.395768
276.271186,1000,3304.314258
181.15016,1000,3429.674381
753.479853,1000,3618.823485
710.526316,1000,3743.223777
710.408922,1000,3867.60879
271.069182,1000,4057.89512
459.440559,1000,4182.115929
733.333333,1000,4306.81016
387.084871,1000,4501.414796
649.103943,1000,4630.324088
335.185185,1000,4757.522454
522.137405,1000,4946.439567
670.226537,1000,5072.385226
752.398524,1000,5198.562656
861.130742,1000,5387.4299
12.211221,1000,5513.975513
401.618123,1000,5640.787349
650.0,1000,5831.389693
746.428571,1000,5957.018237
377.419355,1000,6063.388958
594.805195,1000,6254.536005
857.295374,1000,6381.304009
745.294779,785,6488.066136
241.893311,562,6555.964615
596.296296,1000,6736.035513
318.130986,538,6802.960523
532.352941,1000,6932.209835
303.44127,665,7011.868246
196.877049,606,7115.243343
400.0,1000,7242.019533
405.91716,1000,7367.645051
554.237288,1000,7535.315186
233.382958,590,7606.293721
245.936066,640,7700.890038
578.678679,1000,7827.853051
889.051095,1000,8016.928304
862.457338,1000,8142.163949
481.699346,1000,8269.947546
687.456446,1000,8431.20845
767.741935,1000,8562.717527
540.382332,947,8690.125018
230.215385,545,8760.052407
924.0,760,8923.347867
338.12709,1000,9056.08665
564.310954,1000,9187.570405
802.777778,1000,9383.088762
919.2,808,9476.610639
850.166113,1000,9607.696215
848.096886,1000,9741.049886
848.207171,1000,9938.867856
583.58209,1000,10071.478055
890.291262,1000,10205.339766
901.3,987,10400.606657
908.9,911,10525.776296
419.877676,1000,10658.92972
893.197279,1000,10857.35592
889.361702,1000,10991.363433
913.7,863,11093.287693
872.222222,1000,11297.04965
918.1,819,11407.752069
873.684211,1000,11535.061579
920.3,797,11624.916128
893.377483,1000,11814.949072
921.8,782,11923.149581
917.0,830,12014.95107
554.135338,1000,12204.247303
829.032258,1000,12331.228712
328.571429,1000,12456.982106
413.605442,1000,12583.436665
882.578397,1000,12777.602576
923.5,765,12883.462618
855.172414,1000,13012.904271
110.092375,686,13157.805514
863.525836,1000,13288.748889
881.273408,1000,13418.593647
888.130564,1000,13607.668831
707.81759,1000,13735.101415
874.820144,1000,13860.594066
363.576159,1000,14050.73644
668.683274,1000,14177.265564
590.972222,1000,14304.098609
222.3,778,14391.240415
913.2,868,14561.605342
867.871486,1000,14687.319064
692.880259,1000,14814.119236
9.950689,334,14843.392689
446.583851,1000,15033.475129
880.456026,1000,15159.371519
882.014388,1000,15286.250967
857.377049,1000,15475.275606
885.964912,1000,15600.934148
936.6,634,15675.219673
801.023891,1000,15856.228342
284.856209,891,15977.056842
854.692557,1000,16110.269138
674.086379,1000,16241.618023
873.977695,1000,16434.767878
856.953642,1000,16562.38222
854.887218,1000,16690.130998
884.227129,1000,16881.364964
929.3,707,16963.784472
392.492492,1000,17091.054997
882.269504,1000,17281.095578
857.51634,1000,17407.651433
886.013986,1000,17536.580058
867.509025,1000,17735.139362
600.617284,1000,17865.205994
777.076412,1000,17991.529544
860.144928,1000,18187.647737
