#{"t_start": 1776904843.6449206, "env_id": "CarRacing-v3"}
r,l,t
-41.818182,1000,142.880094
-46.327684,1000,302.323175
-50.980392,1000,470.460165
-31.506849,1000,660.51949
-13.043478,1000,795.591122
-30.656934,1000,925.620196
-26.282051,1000,1110.759575
-24.460432,1000,1241.24814
-21.933086,1000,1371.422181
138.095238,1000,1564.154779
278.676471,1000,1695.866395
279.661017,1000,1828.590227
67.701863,1000,2022.163441
424.017467,1000,2154.080732
323.487544,1000,2286.951058
667.605634,1000,2480.517379
163.157895,1000,2614.983162
415.358362,1000,2748.811034
428.368794,1000,2941.861522
520.37037,1000,3075.729442
231.476323,1000,3209.138848
466.308244,1000,3373.679598
156.25,1000,3507.35118
357.792208,1000,3640.547423
611.026616,1000,3773.682462
525.41806,1000,3965.024647
199.382716,1000,4097.734962
46.579805,1000,4231.722541
448.701299,1000,4421.351959
597.916667,1000,4553.91723
750.533808,1000,4686.274229
532.047478,1000,4880.520748
365.875371,1000,5013.824134
580.981595,1000,5147.49822
550.909091,1000,5335.020794
523.794212,1000,5470.227192
820.265781,1000,5605.117549
144.011268,913,5793.412965
842.372881,1000,5926.141099
746.625767,1000,6035.735846
812.587413,1000,6226.594218
833.085502,1000,6360.161755
841.580756,1000,6493.925513
711.688312,1000,6689.928649
762.416107,1000,6823.682617
547.590361,1000,6956.968733
212.5,1000,7151.296612
883.050847,1000,7284.846121
879.310345,1000,7419.887632
717.857143,1000,7553.631912
927.7,723,7702.003239
500.619195,1000,7835.514997
470.977918,1000,7970.185442
763.636364,1000,8165.688849
502.459016,1000,8298.677382
783.561644,1000,8433.557442
583.544304,1000,8627.047338
919.9,801,8743.898012
911.4,886,8843.277329
885.074627,1000,8976.866441
863.69637,1000,9171.673189
871.326165,1000,9305.562997
255.871886,1000,9439.788621
875.177305,1000,9622.564199
885.294118,1000,9756.237001
932.0,680,9839.438692
729.032258,1000,10035.616904
755.737705,1000,10170.668534
301.384083,1000,10303.223496
573.835125,1000,10497.484789
776.70365,869,10619.335573
768.421053,1000,10752.424171
645.519713,1000,10885.039851
370.031546,1000,11080.123117
651.677852,1000,11214.39807
799.328859,1000,11349.111803
467.010309,1000,11551.721781
19.347147,279,11575.228337
376.190476,1000,11708.956248
23.673684,409,11768.94652
286.97318,1000,11964.340909
670.763415,708,12049.436388
246.666667,1000,12183.30095
694.118819,879,12307.548804
254.304636,1000,12506.760087
717.308392,744,12593.785075
360.750853,1000,12727.934147
440.740741,1000,12923.614291
767.088608,1000,13059.290869
596.485623,1000,13194.220097
411.450382,1000,13394.186853
775.0,1000,13529.260454
475.471698,1000,13664.402481
268.770764,1000,13861.492503
679.671429,990,13996.623722
267.283951,1000,14130.999286
578.343949,1000,14324.107945
770.175439,1000,14458.812063
235.443038,1000,14592.992949
555.913978,1000,14788.375031
720.330769,990,14922.057962
882.876712,1000,15058.099478
877.695167,1000,15201.369756
851.612903,1000,15400.111054
869.491525,1000,15510.501008
915.0,850,15633.019171
356.666667,1000,15829.666108
583.274021,1000,15964.460135
819.298246,1000,16099.044805
258.306189,1000,16296.888355
824.137931,1000,16431.564109
561.971831,1000,16567.887505
857.09571,1000,16761.566282
883.108108,1000,16896.380747
441.80602,1000,17031.168623
845.454545,1000,17226.650738
866.292135,1000,17360.946969
63.636364,1000,17496.562634
20.689655,1000,17694.215079
612.418301,1000,17805.270899
850.35461,1000,17945.528927
835.114504,1000,18080.061474
792.405063,1000,18278.38542
878.647687,1000,18413.126945
600.636943,1000,18548.119819
830.612245,1000,18746.366875
888.372093,1000,18881.894041
570.886076,1000,19017.217124
