#{"t_start": 1776904843.7210052, "env_id": "CarRacing-v3"}
r,l,t
-54.407295,1000,142.939582
-34.065934,1000,302.396394
-21.428571,1000,470.538184
-50.769231,1000,660.559413
14.695341,1000,795.625374
-29.328622,1000,925.670501
-30.313589,1000,1110.788782
-22.222222,1000,1241.287598
-21.052632,1000,1371.456431
-20.863309,1000,1564.364195
517.100372,1000,1695.899683
466.901408,1000,1828.625999
259.322034,1000,2022.217806
157.668712,1000,2154.119275
112.034384,1000,2286.98671
643.772242,1000,2480.565789
536.70412,1000,2615.023296
413.513514,1000,2748.855537
76.895307,1000,2941.89395
366.257669,1000,3075.906885
468.0,1000,3209.209193
222.463768,1000,3373.707988
344.043321,1000,3507.405736
324.920128,1000,3640.595741
279.182156,1000,3773.712234
418.151815,1000,3965.055671
673.722628,1000,4097.774771
616.363636,1000,4231.761325
781.481481,1000,4421.382135
261.904762,1000,4554.106582
892.831541,1000,4686.305605
344.776119,1000,4880.55696
608.77193,1000,5013.871449
617.054264,1000,5147.540379
429.801325,1000,5335.057578
732.298137,1000,5470.271237
328.134557,1000,5605.133978
691.946309,1000,5800.699663
788.030888,1000,5933.324518
892.779783,1000,6067.86462
135.571257,789,6216.003879
505.113636,1000,6349.454217
879.591837,1000,6483.137829
186.165823,652,6563.413306
657.042254,1000,6758.953461
687.671233,1000,6892.505203
668.253968,1000,7026.292701
886.254296,1000,7220.364945
450.488599,1000,7354.160543
844.444444,1000,7489.608457
862.328767,1000,7685.365538
656.666667,1000,7819.261849
814.285714,1000,7953.558942
697.794118,1000,8148.879195
522.775801,1000,8282.411738
674.709699,983,8415.412898
709.859155,1000,8609.232818
890.033223,1000,8742.731772
413.761468,1000,8876.572963
786.120996,1000,9070.643614
913.9,861,9168.329417
809.385113,1000,9302.279266
921.8,782,9417.928993
889.547038,1000,9600.733288
565.605096,1000,9734.475673
843.661972,1000,9869.577639
857.597173,1000,10066.24404
847.368421,1000,10176.265883
877.011494,1000,10308.73162
578.082192,1000,10502.733127
286.363636,1000,10635.586573
852.380952,1000,10768.827395
750.847458,1000,10963.731445
872.125436,1000,11096.942862
717.567568,1000,11231.028094
648.22695,1000,11428.294378
857.597173,1000,11568.063035
23.574172,454,11631.699905
709.338521,1000,11765.531816
651.77305,1000,11960.977386
403.184713,1000,12095.774635
233.333333,1000,12228.999984
282.53012,1000,12428.089908
777.256318,1000,12563.029801
483.916084,1000,12696.689675
801.818182,1000,12892.048797
424.752475,1000,13027.386153
370.0,1000,13137.147878
527.986348,1000,13337.283333
572.839506,1000,13472.84624
325.742574,1000,13607.40833
372.972973,1000,13742.684257
536.627907,1000,13940.728628
375.884244,1000,14075.324177
800.369004,1000,14210.280335
484.96732,1000,14403.031718
459.259259,1000,14537.761866
412.658228,1000,14671.226674
313.114754,1000,14867.575207
883.49835,1000,15002.644606
874.264706,1000,15146.405738
884.790875,1000,15344.102914
834.210526,1000,15480.472292
881.927711,1000,15615.774516
430.24911,1000,15812.640701
575.090253,1000,15947.028864
843.521595,1000,16082.10487
776.254181,1000,16279.440135
889.130435,1000,16414.343161
843.396226,1000,16525.832397
878.798587,1000,16719.874275
391.071429,1000,16854.693605
870.29703,1000,16988.980674
843.820225,1000,17183.827008
889.473684,1000,17319.421172
902.9,971,17452.301497
821.768707,1000,17587.845567
929.2,708,17735.697216
789.570552,1000,17874.032844
851.851852,1000,18011.074261
738.926174,1000,18208.786288
596.022727,1000,18344.133924
832.142857,1000,18478.730978
758.044164,1000,18676.67497
724.451411,1000,18811.561307
814.285714,1000,18947.449743
571.378092,1000,19144.868657
